Rk,PFF Name,displayName,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb▼,Solo,Ast,TFL,QBHits,Sfty
132,Rodarius Williams,Rodarius Williams,NYG,26,CB,3,1,0.33,0.33,0,1,0.67,,,,,0,0,5,5,0,0,0,
133,Blake Martinez,Blake Martinez,LVR,28,LB,4,2,,,0,,,,,,,0,0,5,3.5,1.5,0,0,
134,Roger McCreary,Roger McCreary,TEN,22,CB,17,17,0.06,0.24,0,4,0.47,,,,,0,0,4.94,4.12,0.82,0.12,0,
135,Robert Spillane,Robert Spillane,PIT,27,LB,16,5,0,0,0,0,0.25,,,,,0,0.06,4.94,3.25,1.69,0.25,0.13,
136,Justin Reid,Justin Reid,KAN,25,S,17,17,0,0,0,0,0.41,,,,,0,0.06,4.88,3.47,1.41,0.12,0.24,
137,Jeff Okudah,Jeff Okudah,DET,23,CB,15,15,0.07,1.33,0.07,20,0.47,0.07,0,0,0,0,0,4.87,3.93,0.93,0.13,0,
138,Andre Cisco,Andre Cisco,JAX,22,S,15,15,0.2,4.53,0.07,59,0.67,,,,,0,0.07,4.87,3.27,1.6,0.07,0.07,
139,Krys Barnes,Krys Barnes,GNB,24,LB,6,1,,,0,,,,,,,0,0.17,4.83,2.83,2,0,0.17,
140,Kerby Joseph,Kerby Joseph,DET,22,S,17,14,0.24,4.12,0,38,0.47,0.12,0,1,6,0,0,4.82,3.24,1.59,0,0.06,
141,Vonn Bell,Vonn Bell,CIN,28,S,16,16,0.25,3.5,0,46,0.5,0.13,0,1,0,0,0.06,4.81,3.25,1.56,0.25,0.25,
142,Kader Kohou,Kader Kohou,MIA,24,CB,15,13,0.07,0,0,0,0.67,0.07,0,0,0,0,0,4.8,4.2,0.6,0.33,0,
143,Derek Stingley Jr.,Derek Stingley Jr.,HOU,21,DB,9,9,0.11,1,0,9,0.56,,,,,0,0.11,4.78,3.89,0.89,0,0,
144,Avonte Maddox,Avonte Maddox,PHI,26,CB,9,8,0.11,0.22,0,2,0.33,0.33,0,1,10,0,0.11,4.78,3.11,1.67,0.33,0.22,
145,Andrew Adams,Andrew Adams,TEN,30,DB,13,11,0.08,5.85,0.08,76,0.23,,,,,0,0,4.77,3.38,1.38,0,0.08,
146,Camryn Bynum,Camryn Bynum,MIN,24,S,17,17,0.12,1,0,12,0.35,0,0,2,55,0,0,4.76,2.88,1.88,0,0,
147,Devin Bush Jr.,Devin Bush,PIT,24,LB,17,14,0,0,0,0,0.12,,,,,0,0,4.76,2.59,2.18,0.12,0.12,
148,D.J. Reed,D.J. Reed,NYJ,26,CB,17,17,0.06,0,0,0,0.71,0.06,0,0,0,0,0,4.71,3.71,1,0.06,0,
149,Fabian Moreau,Fabian Moreau,NYG,28,DB,14,11,0,0,0,0,0.71,,,,,0,0,4.71,3.57,1.14,0,0,
150,Ryan Neal,Ryan Neal,SEA,27,SS,14,10,0.07,0.93,0,13,0.57,0.07,0,0,0,0,0.07,4.71,3.21,1.5,0.29,0.07,
151,Damone Clark,Damone Clark,DAL,22,LB,10,5,,,0,,,0.2,0,0,0,0,0,4.7,2.9,1.8,0.1,0,
152,Terrell Edmunds,Terrell Edmunds,PIT,25,S,15,15,0,0,0,0,0.33,,,,,0,0.13,4.67,2.73,1.93,0.2,0.13,
153,Zyon Gilbert,Zyon Gilbert,NYG,23,CB,3,1,,,0,,,,,,,0,0.33,4.67,3.33,1.33,0.33,0.33,
154,Deommodore Lenoir,Deommodore Lenoir,SFO,23,DB,17,13,0.06,0.47,0,8,0.29,,,,,0,0.06,4.65,3.18,1.47,0.35,0.12,
155,Paulson Adebo,Paulson Adebo,NOR,23,CB,13,12,0,0,0,0,0.54,,,,,0,0,4.62,3.92,0.69,0.15,0,
156,Kaden Elliss,Kaden Elliss,NOR,27,LB,17,11,0,0,0,0,0.12,0.12,0,0,0,0,0.41,4.59,2.53,2.06,0.41,0.59,
157,Jack Sanborn,Jack Sanborn,CHI,22,LB,14,6,,,0,,,0,0,1,0,0,0.14,4.57,3.57,1,0.36,0.21,
158,Bobby McCain,Bobby McCain,WAS,29,S,17,16,0,0,0,0,0.29,0.06,0,0,0,0,0,4.47,3.18,1.29,0.18,0.06,
159,Kenneth Murray,Kenneth Murray,LAC,24,LB,17,16,0.06,0.94,0,16,0.18,0.06,0,0,0,0,0.06,4.47,2.94,1.53,0.41,0.24,
160,Aaron Donald*,Aaron Donald,LAR,31,DT,11,11,0,0,0,0,0.18,0.09,0,1,0,0,0.45,4.45,2.45,2,0.91,1,
161,Juan Thornhill,Juan Thornhill,KAN,27,S,16,16,0.19,0,0,0,0.56,,,,,0,0.06,4.44,2.69,1.75,0.25,0.13,
162,Jessie Bates III,Jessie Bates III,CIN,25,S,16,16,0.25,1.75,0,16,0.5,0.06,0,0,0,0,0,4.44,2.38,2.06,0.06,0,
163,Michael Jackson,Michael Jackson,SEA,25,CB,17,17,0.06,1.29,0,22,0.71,0,0.06,2,8,0,0,4.41,3.71,0.71,0.18,0.06,
164,Sauce Gardner*+,Sauce Gardner,NYJ,22,CB,17,17,0.12,1.12,0,16,1.18,,,,,0,0,4.41,3,1.41,0.18,0.06,
165,Antonio Hamilton,Antonio Hamilton,ARI,29,CB,10,5,0.1,0,0,0,0.5,,,,,0,0,4.4,4,0.4,0,0,
166,Emmanuel Moseley,Emmanuel Moseley,SFO,26,CB,5,5,0.2,8.2,0.2,41,1,,,,,0,0,4.4,3.6,0.8,0.2,0,
167,Chidobe Awuzie,Chidobe Awuzie,CIN,27,CB,8,8,0,0,0,0,0.63,0.13,0,0,0,0,0,4.38,3.63,0.75,0,0,
168,Kristian Fulton,Kristian Fulton,TEN,24,CB,11,11,0.09,0,0,0,0.45,0.09,0,1,0,0,0,4.36,3.18,1.18,0.27,0,
169,DeForest Buckner,DeForest Buckner,IND,28,DT,17,16,0,0,0,0,0.18,0.12,0,1,0,0,0.47,4.35,2.59,1.76,0.65,1.29,
170,Cameron Heyward*,Cameron Heyward,PIT,33,DT,17,17,0,0,0,0,0.24,0.06,0,1,0,0,0.62,4.35,2.29,2.06,0.82,1.35,
