Rk,PFF Name,PFF Name Cleaned,Data Bowl Name,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
68,Kenny Young,Kenny Young,#N/A,2TM,27,MLB/RILB,13,13,0,0,0,0,0.08,0.15,0,1,0,0,0.15,5.77,3.15,2.62,0.46,0.15,
69,Patrick Queen,Patrick Queen,Patrick Queen,BAL,22,RILB,17,17,0,0,0,0,0.06,0.06,0,1,0,0,0.12,5.76,4,1.76,0.59,0.18,
70,Budda Baker*,Budda Baker,#N/A,ARI,25,SS,17,17,0.18,5.94,0,77,0.41,0,0,1,0,0,0.12,5.76,3.71,2.06,0.35,0.18,
71,Cory Littleton,Cory Littleton,Cory Littleton,LVR,28,LLB,17,13,0,0,0,0,0.24,0,0,1,0,0,0.03,5.76,3,2.76,0.12,0.12,
72,Jerome Baker,Jerome Baker,Jerome Baker,MIA,25,LLB,16,16,0.06,0,0,0,0.25,0.06,0,0,0,0,0.34,5.75,3.88,1.88,0.56,0.94,
73,Khari Willis,Khari Willis,#N/A,IND,25,SS,11,10,0.18,0,0,0,0.36,0,0,1,0,0,0.14,5.73,3.91,1.82,0.18,0.18,
74,Julian Blackmon,Julian Blackmon,#N/A,IND,23,FS,6,6,0,0,0,0,0.17,0.17,0,0,0,0,0,5.67,4.5,1.17,0.33,0,
75,Elijah Riley,Elijah Riley,#N/A,2TM,23,DB/FS,8,7,0,0,0,0,0.13,,,,,0,0.13,5.63,2.88,2.75,0.38,0.13,
76,D.J. Reed,D.J. Reed,#N/A,SEA,25,RCB,14,14,0.14,0.64,0,7,0.71,0,0,1,0,0,0,5.57,4.43,1.14,0,0,
77,Alex Anzalone,Alex Anzalone,Alex Anzalone,DET,27,LILB,14,14,0.07,0,0,0,0.5,,,,,0,0.07,5.57,3.5,2.07,0.07,0.14,
78,Quandre Diggs*,Quandre Diggs,#N/A,SEA,28,FS,17,17,0.29,4,0,29,0.41,,,,,0,0,5.53,3.88,1.65,0.06,0,
79,Taylor Rapp,Taylor Rapp,#N/A,LAR,24,FS,17,17,0.24,1.82,0,18,0.35,0,0,1,0,0,0.09,5.53,3.76,1.76,0.12,0.18,
80,Jayon Brown,Jayon Brown,Jayon Brown,TEN,26,RILB,10,6,0.1,0.2,0,2,0.2,,,,,0,0,5.5,3.5,2,0,0,
81,Jonathan Bostic,Jonathan Bostic,Jon Bostic,WAS,30,RLB,4,4,,,0,,,,,,,0,0,5.5,3,2.5,0.25,0,
82,Michael Ojemudia,Michael Ojemudia,#N/A,DEN,24,CB,2,1,0,0,0,0,1,,,,,0,0,5.5,4,1.5,0,0,
83,Adrian Amos,Adrian Amos,#N/A,GNB,28,SS,17,17,0.12,0,0,0,0.47,,,,,0,0,5.47,4.41,1.06,0,0,
84,Will Harris,Will Harris,#N/A,DET,26,FS,17,17,0,0,0,0,0.24,0.06,0,0,0,0,0.03,5.47,3.65,1.82,0,0.06,
85,Xavier McKinney,Xavier McKinney,#N/A,NYG,22,FS/SS,17,16,0.29,3.76,0.06,41,0.59,,,,,0,0,5.47,3.47,2,0.06,0,
86,Jalen Reeves-Maybin,Jalen Reeves-Maybin,Jalen Reeves-Maybin,DET,26,RILB,15,11,0,0,0,0,0.27,0.13,0,1,0,0,0,5.47,3.53,1.93,0.27,0.07,
87,Alec Ogletree,Alec Ogletree,#N/A,CHI,30,LILB,16,16,0,0,0,0,0.25,0.06,0,0,0,0,0,5.44,3.44,2,0.31,0.19,
88,Eddie Jackson,Eddie Jackson,#N/A,CHI,28,FS,14,14,0,0,0,0,0.14,0.07,0,0,0,0,0,5.43,3.86,1.57,0.29,0,
89,Josh Bynes,Josh Bynes,Josh Bynes,BAL,32,LILB,14,12,0,0,0,0,0.29,,,,,0,0.14,5.43,3.57,1.86,0.43,0.21,
90,Jeremiah Owusu-Koramoah,Jeremiah Owusu-Koramoah,Jeremiah Owusu-Koramoah,CLE,22,LLB,14,10,0,0,0,0,0.29,0.14,0,0,0,0,0.11,5.43,3.5,1.93,0.21,0.29,
91,Drue Tranquill,Drue Tranquill,Drue Tranquill,LAC,26,RILB,14,7,0,0,0,0,0.07,0,0,1,16,0,0.11,5.43,3.21,2.21,0.36,0.21,
92,Danielle Hunter,Danielle Hunter,Danielle Hunter,MIN,27,LDE,7,7,,,0,,,,,,,0,0.86,5.43,3.29,2.14,0.86,1.43,
93,Sebastian Joseph-Day,Sebastian Joseph-Day,#N/A,LAR,26,RDT,7,7,,,0,,,,,,,0,0.43,5.43,3.29,2.14,0.43,0.71,
94,Adrian Phillips,Adrian Phillips,#N/A,NWE,29,SS,17,13,0.24,2.29,0.06,26,0.53,0.06,0,0,0,0,0,5.41,3.29,2.12,0.18,0.06,
95,Matt Milano,Matt Milano,Matt Milano,BUF,27,LLB,16,16,0,0,0,0,0.31,0,0,2,0,0,0.19,5.38,3.56,1.81,0.94,0.38,
96,Troy Reeder,Troy Reeder,#N/A,LAR,27,LLB,17,10,0.12,0.12,0,2,0.35,,,,,0,0.12,5.35,2.82,2.53,0.35,0.24,
97,Erik Harris,Erik Harris,#N/A,ATL,31,SS,12,12,0,0,0,0,0.67,,,,,0,0.04,5.33,3.83,1.5,0.25,0.17,
98,Anthony Hitchens,Anthony Hitchens,#N/A,KAN,29,MLB,15,15,0.07,0,0,0,0.13,,,,,0,0,5.33,2.73,2.6,0.27,0.13,
99,Alexander Johnson,Alexander Johnson,#N/A,DEN,30,LILB,6,6,0,0,0,0,0.5,0,0,1,10,0,0.33,5.33,3.33,2,0.33,0.33,
100,Nick Vigil,Nick Vigil,Nick Vigil,MIN,28,RLB,16,12,0.06,2.38,0.06,38,0.06,,,,,0,0.06,5.31,2.81,2.5,0.25,0.19,
101,Brandon Jones,Brandon Jones,#N/A,MIA,23,SS,15,13,0.07,0.53,0,8,0.07,0.07,0.07,2,7,0,0.33,5.27,3.2,2.07,0.4,0.67,
102,Micah Parsons*+,Micah Parsons,Micah Parsons,DAL,22,LLB,16,16,0,0,0,0,0.19,0.19,0,0,0,0,0.81,5.25,4,1.25,1.25,1.88,
103,Terrell Edmunds,Terrell Edmunds,#N/A,PIT,24,SS,17,17,0.12,0.88,0,15,0.35,,,,,0,0.06,5.24,3.71,1.53,0.47,0.06,
104,Cameron Heyward*+,Cameron Heyward,#N/A,PIT,32,RDE,17,17,0.06,0,0,0,0.53,0.06,0,1,0,0,0.59,5.24,3.12,2.12,0.88,1,
105,Christian Wilkins,Christian Wilkins,#N/A,MIA,26,RDE,17,17,0,0,0,0,0.24,0.06,0.06,1,9,0,0.26,5.24,2.88,2.35,0.59,0.76,
106,Jordan Whitehead,Jordan Whitehead,#N/A,TAM,24,FS,14,14,0.14,1.71,0,17,0.57,0.07,0,0,0,0,0,5.21,4.14,1.07,0.36,0.07,
